BLOSSOM,5:00PM,5:30PM,cosmic_meadow
Z-TRIP,5:30PM,7:00PM,cosmic_meadow
ARTY,7:00PM,7:56PM,kinetic_field
MR. BROOKS,7:00PM,8:00PM,quantum_valley
WATER SPIRIT,7:00PM,8:00PM,wasteland
DECLAN JAMESQ2),7:00PM,8:00PM,neon_garden
WILLIAM BLACK,7:00PM,8:00PM,cosmic_meadow
THROTTLE,7:00PM,8:15PM,circuit_grounds
CASMALIA,7:00PM,8:30PM,stereobloom
FURY + MC DINO,7:00PM,8:30PM,basspod
LOST KINGS,7:56PM,8:56PM,kinetic_field
JAYTECH,8:00PM,9:00PM,quantum_valley
AUDIOFREQ,8:00PM,9:00PM,wasteland
VNSSA,8:00PM,9:00PM,cosmic_meadow
MATHAME,8:00PM,9:30PM,neon_garden
LEYOUTH,8:15PM,9:30PM,circuit_grounds
MADUK,8:30PM,9:30PM,basspod
BLACK V NECK,8:30PM,9:45PM,stereobloom
HABSTRAKT,8:56PM,9:56PM,kinetic_field
JEROME ISMA-AE,9:00PM,10:00PM,quantum_valley
DR PHUNK,9:00PM,10:00PM,wasteland
WAX MOTIF,9:00PM,10:00PM,cosmic_meadow
JOYRYDE (ALL DNB SED),9:30PM,10:30PM,basspod
SOLARDO,9:30PM,10:45PM,circuit_grounds
ARTBAT,9:30PM,11:00PM,neon_garden
WESTEND,9:45PM,11:00PM,stereobloom
OPENING CEREMONY,9:56PM,10:02PM,kinetic_field
ANDREW BAYER,10:00PM,11:00PM,quantum_valley
DJ ISAAC,10:00PM,11:00PM,wasteland
WALKER & ROYCE,10:00PM,11:15PM,cosmic_meadow
PURPLE DISCO MACHINE,10:02PM,11:02PM,kinetic_field
MARAUDA,10:30PM,11:30PM,basspod
LANE 8,10:45PM,12:00AM,circuit_grounds
ALPHA 9,11:00PM,12:00AM,quantum_valley
DA TWEEKAZ,11:00PM,12:00AM,wasteland
JOHN SUMMIT,11:00PM,12:15AM,stereobloom
BLACK COFFEE,11:00PM,12:30AM,neon_garden
CALM AFTER THE STORM,11:02PM,11:05PM,kinetic_field
3LAU,11:05PM,12:05AM,kinetic_field
TOKIMONSTA,11:15PM,12:30AM,cosmic_meadow
HEROBUST B2B SPAG HEDDY,11:30PM,12:30AM,basspod
AUDIEN,12:00AM,1:00AM,quantum_valley
NOISECONTROLLERS,12:00AM,1:00AM,wasteland
ERIC PRYDZ,12:00AM,1:30AM,circuit_grounds
YOUR INNER GROWTH,12:05AM,12:08AM,kinetic_field
KASKADE,12:08AM,1:20AM,kinetic_field
LEE FOSS,12:15AM,1:30AM,stereobloom
SUBTRONICS,12:30AM,1:30AM,basspod
DUKE DUMONT,12:30AM,1:30AM,cosmic_meadow
NINA KRAVIZ,12:30AM,2:00AM,neon_garden
COSMIC GATE,1:00AM,2:00AM,quantum_valley
SUB ZERO PROJECT,1:00AM,2:00AM,wasteland
25Y CELEBRATION SHOW,1:20AM,1:25AM,kinetic_field
MAIN FIREWORKS,1:25AM,1:32AM,kinetic_field
REZZ,1:30AM,2:30AM,circuit_grounds
LIQUID STRANGER,1:30AM,2:30AM,basspod
ZEDD,1:30AM,2:45AM,cosmic_meadow
? B2B ?,1:30AM,3:00AM,stereobloom
KYGO,1:32AM,2:59AM,kinetic_field
CODE BLACK,2:00AM,3:00AM,wasteland
ALY & FILA,2:00AM,3:30AM,quantum_valley
DUBFIRE B3B NICOLE MOUDABER B3B PACO OSUNA,2:00AM,4:00AM,neon_garden
MALAA,2:30AM,3:30AM,circuit_grounds
ZOMBOY,2:30AM,3:30AM,basspod
TROYBOI,2:45AM,3:45AM,cosmic_meadow
THE FLOW OF LIFE,2:59AM,3:02AM,kinetic_field
ROB GEE,3:00AM,4:00AM,wasteland
QRION,3:00AM,4:15AM,stereobloom
AFROJACK B2B R3HAB,3:02AM,4:14AM,kinetic_field
INFECTED MUSHROOM,3:30AM,4:30AM,quantum_valley
SNAKEHIPS,3:30AM,4:30AM,circuit_grounds
DIMENSION,3:30AM,4:30AM,basspod
KNIFE PARTY,3:45AM,4:40AM,cosmic_meadow
CRIME FAMILY B2B BLVCKJESUS B2B WSHNGTN,4:00AM,5:30AM,wasteland
PATRICK TOPPING,4:00AM,5:30AM,neon_garden
ACRYLIC RAINBOW,4:14AM,4:17AM,kinetic_field
CUT SNAKE,4:15AM,5:30AM,stereobloom
SLANDER B2B SAID THE SKY,4:17AM,5:28AM,kinetic_field
JORZA,4:30AM,5:30AM,quantum_valley
BORGORE,4:30AM,5:30AM,circuit_grounds
MODESTEP,4:30AM,5:30AM,basspod
12TH PLANET B2B SAYMYNAME,4:40AM,5:30AM,cosmic_meadow
CLOSING CEREMONY,5:28AM,5:30AM,kinetic_field
